ChEMBL ID,Smiles
CHEMBL4297528,Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1
CHEMBL3989939,O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1.O=S(=O)(O)O
CHEMBL1222250,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
CHEMBL1201761,Cl.N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1
CHEMBL1764,COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2
CHEMBL227529,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O.O=C(O)c1ccccc1
CHEMBL1511,CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C
CHEMBL2105248,O=C([O-])[C@H](O)[C@@H](O)C(=O)O.[K+]
CHEMBL476,CN(C)/N=N/c1[nH]cnc1C(N)=O
CHEMBL2110816,CC(CC1c2ccccc2CCc2ccccc21)CN(C)C
CHEMBL1723,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC.Cl
CHEMBL1200382,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1.Cl.O
CHEMBL64195,O=C(CCCl)NCc1ccccc1
CHEMBL691,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
CHEMBL2107253,COc1cc([N-]S(=O)(=O)c2ccc(N)cc2)nc(OC)n1.[Na+]
CHEMBL15245,COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O
CHEMBL1115,CN(C)C(=O)Oc1ccc[n+](C)c1
CHEMBL2105613,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+]
CHEMBL211471,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.COS(=O)(=O)[O-]
CHEMBL1256391,Cc1ccc(=O)n(-c2ccccc2)c1
CHEMBL193482,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O
CHEMBL547,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1
CHEMBL1027,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C
CHEMBL1201286,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
CHEMBL285674,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2
CHEMBL599,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1
CHEMBL203266,COc1ccc(CN2CCNCC2)c(OC)c1OC
